Score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
10,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,1,1
8,1,1,1,0,1,1,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1
6,1,1,1,0,0,1,0,1,1,0
8,1,1,1,0,1,1,0,1,1,1
1,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,1
9,1,1,1,1,1,1,1,1,0,1
2,1,1,0,0,0,0,0,0,0,0
9,1,1,1,1,1,1,0,1,1,1
2,0,0,0,1,0,0,0,0,1,0
8,1,1,1,0,1,1,0,1,1,1
3,0,0,0,0,0,1,0,0,1,1
4,1,0,1,0,0,1,0,0,1,0
4,0,1,1,0,0,0,0,0,1,1
6,0,1,1,0,0,1,1,0,1,1
4,0,0,0,1,1,0,1,0,0,1
8,0,1,0,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1
4,0,0,0,1,0,1,0,0,1,1
